Sl_No,Restaurant_Name,Restaurant_Number,Restaurant_Address,City,State,ZipCode,TripAdvisor_Rating,TripAdvisor_Rating_Count,Foursquare_Rating
250,Wako Donkasu,(213) 381-9256,3377 Wilshire Blvd,Los Angeles,CA,90010,4.0,9,7.34
251,Pollo A La Brasa,(213) 387-1531,764 S Western Ave,Los Angeles,CA,90005,4.5,17,8.67
252,Ye Rustic Inn,(323) 662-5757,1831 Hillhurst Ave,Los Angeles,CA,90027,5.0,6,8.09
253,Osteria La Buca,(323) 462-1900,5210 Melrose Ave,Los Angeles,CA,90038,NA,NA,9.14
254,Gaby's Mediterranean,(310) 559-1808,10445 Venice Blvd,Los Angeles,CA,90034,4.0,38,7.4
255,San Antonio Winery,(323) 223-1401,737 Lamar Street,Los Angeles,CA,90031,4.5,182,NA
256,Caffe Latte,(323) 936-5213,6254 Wilshire Blvd,Los Angeles,CA,90048,4.5,32,NA
257,Pho 87 Restaurant,(323) 227-0758,1019 N Broadway,Los Angeles,CA,90012,4.0,43,8.71
258,Thai Original BBQ & Restaurant,(213) 383-8571,4055 W 3rd St,Los Angeles,CA,90020,4.0,16,7.47
259,Chateau Lemongrass,(323) 258-8050,1952 Colorado Blvd,Los Angeles,CA,90041,4.5,29,7.56
260,Tofu Ya,(310) 473-2627,2021 Sawtelle Blvd,Los Angeles,CA,90025,4.0,23,6.34
261,Mendocino Farms,(213) 627-3262,444 S Flower St,Los Angeles,CA,90071,4.5,23,7.98
262,Sushi Go 55,(213) 687-0777,333 S Alameda St Ste 317,Los Angeles,CA,90013,5.0,33,7.74
263,The Factory Kitchen,(213) 996-6000,1300 Factory Pl Ste 101,Los Angeles,CA,90013,4.5,267,8.17
264,Smashburger,(213) 631-3355,1011 S Figueroa St,Los Angeles,CA,90015,4.0,189,5.9
265,Gwang Yang BBQ,(213) 385-5600,3435 Wilshire Blvd,Los Angeles,CA,90010,NA,NA,7.89
266,Hollywood Burger,(323) 378-5668,6250 Hollywood Blvd Ste 100,Los Angeles,CA,90028,4.5,86,NA
267,Nobu Los Angeles,(310) 657-5711,903 N La Cienega Blvd,Los Angeles,CA,90069,4.5,494,8.82
268,Barton G. The Restaurant Los Angeles,(310) 388-1888,861 N La Cienega Blvd,Los Angeles,CA,90069,4.0,234,8.05
269,Burrata House,(844) 287-7282,3272 Motor Ave,Los Angeles,CA,90034,5.0,11,7.61
270,Native Foods,(310) 209-1055,1114 Gayley Ave.,Los Angeles,CA,90024,4.0,2,8.69
271,Marugame Monzo,(213) 346-9762,329 E 1st St,Los Angeles,CA,90012,4.5,104,8.62
272,Chinchikurin,(213) 626-0480,350 E 1st St,Los Angeles,CA,90012,4.5,26,7.58
273,Ocean Seafood Restaurant,(213) 687-3088,750 N Hill St,Los Angeles,CA,90012,NA,NA,7.02
274,Nick's Cafe,(323) 222-1450,1300 N Spring St,Los Angeles,CA,90012,4.5,70,8.33
275,King Taco,(213) 747-3176,1951 S San Pedro St,Los Angeles,CA,90011,NA,NA,8.48
276,Eighth Street Soondae,(213) 487-0038,2703 W 8th St,Los Angeles,CA,90005,4.0,1,7.5
277,Soy Japanese Grill & Roll,(213) 746-8831,2813 S Figueroa St,Los Angeles,CA,90007,3.5,2,6.3
278,Quarters Korean BBQ,(213) 365-8111,3465 W 6th St  Calle 130,Los Angeles,CA,90020,4.5,134,8.43
279,Blossom,(323) 953-8345,4019 W Sunset Blvd,Los Angeles,CA,90029,NA,NA,NA
280,Cha Cha Chili,(850) 598-9090,4625 Valley Blvd,Los Angeles,CA,90032,4.5,16,8.1
281,Yu Chun Chic Naeng Myun,(213) 382-3815,3185 W Olympic Blvd,Los Angeles,CA,90006,4.0,6,NA
282,Modern Eats,(323) 665-1008,2590 Glendale Blvd,Los Angeles,CA,90039,4.5,19,7.9
283,Square One Silverlake,(213) 220-0938,2630 Hyperion Ave Ste 101,Los Angeles,CA,90027,NA,NA,7.71
284,Yuca's On Hollywood,(323) 661-0523,4666 Hollywood Blvd,Los Angeles,CA,90027,NA,NA,NA
285,La Pergoletta,(323) 664-8259,1802 Hillhurst Ave,Los Angeles,CA,90027,4.5,46,8.07
286,Coral Reef Chinese Restaurant,(323) 660-3260,3200 Glendale Blvd,Los Angeles,CA,90039,4.5,3,7.17
287,Genwa Korean BBQ,(323) 549-0760,5115 Wilshire Blvd,Los Angeles,CA,90036,4.5,198,8.84
288,Chinese Deli,(310) 815-8681,5808 Obama Blvd,Los Angeles,CA,90016,NA,NA,NA
289,Feast From the East,(310) 475-0400,1949 Westwood Blvd,Los Angeles,CA,90025,4.0,31,7.69
290,Flame Persian Cuisine,(310) 470-3399,1442 Westwood Blvd,Los Angeles,CA,90024,4.0,51,7.5
291,Del Rey Kitchen,(310) 822-7788,12740 Culver Blvd,Los Angeles,CA,90066,NA,NA,NA
292,Emporium Thai,(310) 478-2838,1275 Westwood Blvd,Los Angeles,CA,90024,4.0,68,7.04
293,Hide Sushi Japanese,(310) 477-7242,2040 Sawtelle Blvd,Los Angeles,CA,90025,4.0,98,8.25
294,Bollywood Bites,(310) 824-1046,1051 Gayley Ave,Los Angeles,CA,90024,3.5,21,5.78
295,House of Thai Taste,(310) 915-0123,12824 Venice Blvd,Los Angeles,CA,90066,4.5,17,7.66
296,Ayara Thai Cuisine,(310) 410-8848,6245 W 87th St,Los Angeles,CA,90045,4.5,265,8.6
297,Crown of India,(323) 465-3321,6755 Santa Monica Blvd,Los Angeles,CA,90038,4.0,23,7.01
298,The Fix Burger,(323) 661-8494,2520 Hyperion Ave,Los Angeles,CA,90027,4.5,12,7.54
299,Urban Masala,(323) 957-9999,6554 Hollywood Blvd,Los Angeles,CA,90028,4.5,143,6.97
300,New Panda Buffet,(323) 291-5555,5120 Obama Blvd,Los Angeles,CA,90016,4.0,8,7.05
301,Public School 213,(213) 622-4500,612 S Flower St,Los Angeles,CA,90017,4.0,100,8.22
302,Iota Brew Cafe,(213) 568-2700,528 S Western Ave,Los Angeles,CA,90020,NA,NA,NA
303,Maverick's Flat,(323) 295-4179,4225 Crenshaw Blvd,Los Angeles,CA,90008,NA,NA,NA
304,Beachwood Cafe,(323) 871-1717,2695 N Beachwood Dr,Los Angeles,CA,90068,4.5,142,8.98
305,Ray's and Stark Bar,(323) 857-6180,5905 Wilshire Blvd,Los Angeles,CA,90036,4.0,204,7.06
306,Joan's on Third,(323) 655-2285,8350 W 3rd St,Los Angeles,CA,90048,4.5,522,9.09
307,Paco's Tacos Cantina,(310) 645-8692,6212 W Manchester Ave,Los Angeles,CA,90045,4.0,132,7.94
308,Fat Sal's Deli,(310) 208-5070,972 Gayley Ave,Los Angeles,CA,90024,4.5,69,8.28
309,Golden Dragon Restaurant,(213) 626-2039,960 N Broadway,Los Angeles,CA,90012,4.0,99,7.02
310,Cafe Tropical,(323) 661-8391,2900 W Sunset Blvd,Los Angeles,CA,90026,4.0,18,NA
311,Soot Bull Jeep,(213) 387-3865,3136 W 8th St,Los Angeles,CA,90005,4.5,55,7.52
312,Chinese Kitchen,(323) 260-7987,3441 Whittier Blvd,Los Angeles,CA,90023,NA,NA,NA
313,Kuishimbo Japanese Restaurant,(213) 380-5049,3407 W 6th St,Los Angeles,CA,90020,4.0,6,6.86
314,Commissary,(213) 368-3030,3515 Wilshire Blvd,Los Angeles,CA,90010,NA,NA,5.4
315,Atch-Kotch Japanese Restaurant,(323) 467-5537,1253 Vine St,Los Angeles,CA,90038,4.0,9,NA
316,Crazy Rock'n Sushi,(323) 882-8247,7100 Santa Monica Blvd Ste 158,Los Angeles,CA,90046,4.0,54,7.86
317,Stir Market,(323) 879-8283,7475 Beverly Blvd,Los Angeles,CA,90036,NA,NA,NA
318,Blue Hen Restaurant,(323) 982-9900,1743 Colorado Blvd,Los Angeles,CA,90041,NA,NA,NA
319,My Two Cents,(323) 938-1012,5583 W Pico Blvd,Los Angeles,CA,90019,4.5,50,8.72
320,The Counter,(323) 436-3844,7917 W Sunset Blvd,Los Angeles,CA,90046,NA,NA,NA
321,Wokcano On 3rd,(310) 458-3080,8408 W 3rd St,Los Angeles,CA,90048,NA,NA,7.24
322,Sushi by H,(323) 782-0547,480 S San Vicente Blvd,Los Angeles,CA,90048,NA,NA,8.1
323,California Chicken Cafe,(310) 446-1933,2005 Westwood Blvd,Los Angeles,CA,90025,4.0,43,8.8
324,Sprazzo Cucina Italiana,(310) 479-3337,1389 Westwood Blvd,Los Angeles,CA,90024,NA,NA,5.7
325,Eggslut,(213) 625-0292,"317 S. Broadway, Stall D-1",Los Angeles,CA,90013,4.5,563,8.1
326,Super Panda China Buffet,(323) 257-7551,6300 York Blvd,Los Angeles,CA,90042,NA,NA,NA
327,Master Burger,(323) 293-0890,3420 W Slauson Ave Ste A,Los Angeles,CA,90043,NA,NA,NA
328,P.F. Chang's China Bistro,(310) 854-6467,121 N La Cienega Blvd # 117,Los Angeles,CA,90048,NA,NA,7.72
329,BADMAASH Downtown LA,(657) 385-7383,108 W 2nd St Apt 104,Los Angeles,CA,90012,4.0,134,8.32
330,Katsuya,(213) 747-9797,800 W Olympic Blvd Ste 220,Los Angeles,CA,90015,4.0,293,7.43
331,Kazoku Sushi,(323) 817-1002,5259 Hollywood Blvd,Los Angeles,CA,90027,5.0,5,7.47
332,Fabiolus Cucina,(323) 467-2882,6270 W Sunset Blvd,Los Angeles,CA,90028,4.0,150,7.45
333,Pizzeria Mozza,(323) 297-0101,641 N Highland Ave,Los Angeles,CA,90036,4.0,745,9.17
334,Cheebo,(323) 850-7070,7533 W Sunset Blvd,Los Angeles,CA,90046,4.5,138,8.02
335,John O'Groats Restaurant,(310) 204-0692,10516 W Pico Blvd,Los Angeles,CA,90064,4.0,97,8.02
336,Coral Tree Cafe,(310) 979-8733,11645 San Vicente Blvd,Los Angeles,CA,90049,4.0,108,8.22
337,Mr Ramen,(213) 626-4252,341 E 1st St,Los Angeles,CA,90012,4.0,60,NA
338,Chinese House Haochi,(213) 385-9799,3280 W 6th St,Los Angeles,CA,90020,NA,NA,NA
339,Toe Bang Cafe,(213) 387-4905,3465 W 6th St,Los Angeles,CA,90020,NA,NA,6.8
340,Guelaguetza Restaurant,(213) 427-0608,3014 W Olympic Blvd,Los Angeles,CA,90006,4.5,172,8.57
341,Patra's Charbroiled Burgers,(323) 225-9944,2319 N San Fernando Rd,Los Angeles,CA,90065,NA,NA,8.36
342,Pamore Pizza,(323) 766-8868,2190 W Washington Blvd,Los Angeles,CA,90018,4.5,4,NA
343,Speranza,(323) 644-1918,2547 Hyperion Ave,Los Angeles,CA,90027,3.5,41,7.73
344,Chung Ki Wa,(323) 737-0809,3545 W Olympic Blvd,Los Angeles,CA,90019,4.5,13,NA
345,Simply Thai Restaurant,(323) 665-6958,1850 Hillhurst Ave,Los Angeles,CA,90027,4.0,14,6.89
346,Paru's,(323) 661-7600,5140 W Sunset Blvd,Los Angeles,CA,90027,NA,NA,NA
347,Sal's Vienna Cafe,(323) 651-3822,7356 Melrose Ave,Los Angeles,CA,90046,3.5,13,NA
348,Robata JINYA - 3rd St.,(323) 653-8877,8050 W 3rd St,Los Angeles,CA,90048,4.5,58,8.74
349,Takami Sushi and Robata,(213) 236-9600,811 Wilshire Blvd,Los Angeles,CA,90017,4.0,202,8.67
350,Noshi Sushi,(323) 469-3458,4430 Beverly Blvd,Los Angeles,CA,90004,4.0,28,8.46
351,El 7 Mares,(323) 267-0106,2747 E Cesar E Chavez Ave,Los Angeles,CA,90033,4.0,6,NA
352,The Lab Gastropub,(213) 743-1843,3500 S Figueroa St,Los Angeles,CA,90089,4.0,54,5.71
353,Kang Hodong Baekjeong,(213) 384-9678,3465 W 6th St Ste 20,Los Angeles,CA,90020,4.5,154,9.01
354,Hong Kong Express,(323) 777-0299,10311 Avalon Blvd,Los Angeles,CA,90003,NA,NA,NA
355,Thai Boom,(310) 842-8291,10863 Venice Blvd,Los Angeles,CA,90034,4.5,9,NA
356,Westin,(213) 624-1000,404 S Figueroa St,Los Angeles,CA,90071,4.0,3474,7.4
357,Morton's The Steakhouse,(213) 553-4566,735 S Figueroa St Ste 207,Los Angeles,CA,90017,4.0,123,7.41
358,Fogo de Chão Brazilian Steakhouse,(213) 228-4300,800 S Figueroa St,Los Angeles,CA,90017,4.0,298,NA
359,L'Antica Pizzeria Da Michele,(323) 366-2408,1534 N Mccadden Pl,Los Angeles,CA,90028,4.5,68,8.83
360,Mitsuru Sushi & Grill,(213) 626-4046,316 E 1st St,Los Angeles,CA,90012,5.0,4,7.58
361,Chateau Lemongrass,(323) 258-8050,1952 Colorado Blvd,Los Angeles,CA,90041,4.5,29,7.56
362,Flame Persian Cuisine,(310) 470-3399,1442 Westwood Blvd,Los Angeles,CA,90024,4.0,51,7.5
363,Loteria Grill,(323) 930-2211,6333 W 3rd St,Los Angeles,CA,90036,4.0,142,NA
364,Melanee Thai,(310) 273-4066,9562 W Pico Blvd,Los Angeles,CA,90035,4.5,25,NA
365,Thai Talay,(310) 670-3055,8411 Lincoln Blvd,Los Angeles,CA,90045,4.0,54,NA
366,Bloom Cafe,(323) 934-6900,5544 W Pico Blvd,Los Angeles,CA,90019,4.5,32,8.16
367,Hu's Restaurant,(310) 837-0252,10450 National Blvd,Los Angeles,CA,90034,4.5,29,6.34
368,Los Balcones,(323) 871-9600,1360 Vine St,Los Angeles,CA,90028,4.0,85,6.74
369,Alimento,(323) 928-2888,1710 Silver Lake Blvd,Los Angeles,CA,90026,4.0,68,8.53
370,Ramen Maruya,(213) 613-9988,104 Japanese Village Plaza Mall,Los Angeles,CA,90012,4.0,53,6.03
371,Horse Theif BBQ,(213) 625-0341,324 S Hill St,Los Angeles,CA,90013,4.0,88,NA
372,Terroni - LA,(323) 954-0300,802 S Spring St,Los Angeles,CA,90014,4.0,157,NA
373,Holy Crab,(213) 252-0058,3250 Wilshire Blvd,Los Angeles,CA,90010,4.5,21,6.24
374,Il Segreto,(310) 474-8644,2932 N Beverly Glen Cir,Los Angeles,CA,90077,4.5,35,NA
375,Blue Ribbon Sushi Bar & Grill,(323) 352-9300,189 The Grove Dr,Los Angeles,CA,90036,4.0,87,6.26
376,Spice Restaurant,(323) 876-0497,2011 N Highland Ave,Los Angeles,CA,90068,4.0,65,NA
377,Sunnin Lebanese Cafe,(310) 475-3358,1776 Westwood Blvd,Los Angeles,CA,90024,4.5,50,8.37
378,Mizu 212,(310) 478-8979,2000 Sawtelle Blvd,Los Angeles,CA,90025,4.5,31,NA
379,Singapore's Banana Leaf,(323) 933-4627,6333 W 3rd St,Los Angeles,CA,90036,4.0,109,7.62
380,It's Pho,(323) 380-7998,1821 N Cahuenga Blvd,Los Angeles,CA,90028,4.5,43,7.17
381,Headlines Diner & Press Club,(310) 208-2424,10922 Kinross Ave,Los Angeles,CA,90024,4.5,20,NA
382,Fish Grill,(310) 860-1182,9618 W Pico Blvd,Los Angeles,CA,90035,4.5,43,6.86
383,Traxx Restaurant,(323) 470-7094,800 N Alameda St,Los Angeles,CA,90012,4.0,109,7.19
384,Ladurée The Grove,(323) 456-0282,189 The Grove Dr,Los Angeles,CA,90036,4.0,64,7.68
385,Trattoria Natalie,(310) 246-1826,8681 W Pico Blvd,Los Angeles,CA,90035,4.0,46,5.92
386,Alma at The Standard,(323) 650-9090,8300 W Sunset Blvd,Los Angeles,CA,90069,4.0,54,NA
387,Mandarette,(323) 655-6115,8386 Beverly Blvd,Los Angeles,CA,90048,4.0,46,7.3
388,Niko Niko Sushi,(310) 470-2661,10839 National Blvd,Los Angeles,CA,90064,4.5,21,6.66
389,Panang Thai,(310) 338-1337,5310 W Century Blvd,Los Angeles,CA,90045,4.0,53,6.93
390,Little Fatty,(310) 574-7610,3809 Grand View Blvd,Los Angeles,CA,90066,4.5,21,7.46
391,Officine Brera,(213) 553-8006,1331 E 6th St,Los Angeles,CA,90021,NA,NA,8.56
392,Mitaki Japanese Restaurant,(213) 741-0034,1139 S Hill St,Los Angeles,CA,90015,NA,NA,NA
393,Bernie's Teriyaki,(213) 250-8413,318 Glendale Blvd,Los Angeles,CA,90026,NA,NA,6.44
394,Aladin's Coffee Shop,(213) 747-4032,1150 S Hope St,Los Angeles,CA,90015,NA,NA,6.8
395,Ostrich Farm,(213) 537-0657,1525 W Sunset Blvd,Los Angeles,CA,90026,4.5,41,8.94
396,Rodeo Mexican Grill,(213) 483-8390,1721 W Olympic Blvd,Los Angeles,CA,90015,4.5,41,7.63
397,Seoul Garden Restaurant,(213) 386-8477,1833 W Olympic Blvd,Los Angeles,CA,90006,4.5,40,7.48
398,Two Boots Pizza,(213) 413-2668,1818 W Sunset Blvd,Los Angeles,CA,90026,NA,NA,NA
399,Luck Thai Cuisine,(213) 389-2893,524 S Occidental Blvd,Los Angeles,CA,90057,3.5,4,6.65
400,The Hungry Pig,(213) 387-7787,2920 W Temple St,Los Angeles,CA,90026,NA,NA,NA
401,Shibucho,(213) 387-8498,3114 Beverly Blvd,Los Angeles,CA,90057,4.5,4,7.13
402,O B Bear,(213) 480-4910,3002 W 7th St,Los Angeles,CA,90005,4.0,11,NA
403,Moodaepo II,(213) 381-9990,3014 W 7th St,Los Angeles,CA,90005,4.5,15,7.49
404,Mariscos Quatro Vientos,(323) 266-4045,3000 E Olympic Blvd,Los Angeles,CA,90023,5.0,8,NA
405,El Restaurant,(213) 389-2520,1250 S Catalina St,Los Angeles,CA,90006,NA,NA,NA
406,Cho Man Won,(213) 249-9900,2881 W Olympic Blvd,Los Angeles,CA,90006,NA,NA,NA
407,Yung Suk Kim Sanya Restaurant,(213) 383-1144,2897 W Olympic Blvd,Los Angeles,CA,90006,3.5,2,5.81
408,Nam Dae Moon Jip Restaurant,(213) 385-4249,3470 W 6th St,Los Angeles,CA,90020,NA,NA,6.19
409,Yangji Gamjatang,(213) 388-1105,3470 W 6th St,Los Angeles,CA,90020,4.0,2,5.54
410,EMC Seafood & Rawbar,(213) 351-9988,3500 W 6th St Ste 101,Los Angeles,CA,90020,4.5,83,8.21
411,Mornings Night,(323) 664-8811,1523 Griffith Park Blvd,Los Angeles,CA,90026,NA,NA,NA
412,Lotus on Flower,(213) 478-0090,3742 S Flower St,Los Angeles,CA,90007,2.0,2,NA
413,Bulan Thai Vegetarian Kitchen,(323) 913-1488,4114 Santa Monica Blvd,Los Angeles,CA,90029,4.5,15,7.51
414,O Banh Mi,(323) 665-1941,1997 Hyperion Ave,Los Angeles,CA,90027,4.0,2,NA
415,Thank U Pho,(213) 380-3223,3522 W 8th St,Los Angeles,CA,90005,4.5,3,7.11
416,Kpl Group,(323) 737-9292,1040 S Western Ave,Los Angeles,CA,90006,NA,NA,NA
417,SomiSomi,(213) 568-3284,621 S Western Ave,Los Angeles,CA,90005,4.5,27,7.89
418,Wat Dong Moon Lek Noodle,(323) 666-5993,4356 Fountain Ave,Los Angeles,CA,90029,5.0,10,8.3
419,El Sabor K-Tracho,(323) 233-2806,4181 S Figueroa St,Los Angeles,CA,90037,NA,NA,NA
420,Tip's House,(213) 387-2671,3970 W 6th St,Los Angeles,CA,90020,4.5,5,NA
421,T = Fish,(213) 380-3385,301 S Western Ave,Los Angeles,CA,90020,NA,NA,NA
422,Chinatown Express,(213) 383-1559,252 S Western Ave,Los Angeles,CA,90004,NA,NA,5.79
423,Kabayo Cham Bada,(323) 645-7668,201 N Western Ave,Los Angeles,CA,90004,NA,NA,NA
424,Hwang Hae Doe,(323) 468-3839,429 N Western Ave Ste 7,Los Angeles,CA,90004,4.5,2,NA
425,Little Beijing,(323) 222-8878,3106 N Eastern Ave,Los Angeles,CA,90032,NA,NA,NA
426,Yoshinoya,(323) 258-4142,3081 N San Fernando Rd,Los Angeles,CA,90065,NA,NA,5.05
427,Asava Thai,(323) 466-1122,970 N Western Ave,Los Angeles,CA,90029,NA,NA,NA
428,Anarbagh,(323) 660-8800,4656 Franklin Ave,Los Angeles,CA,90027,4.0,6,6.87
429,Dave's Deli & Catering,(323) 265-3555,213 S Mednik Ave,Los Angeles,CA,90022,NA,NA,NA
430,Barbeque King,(323) 750-1064,5309 S Vermont Ave,Los Angeles,CA,90037,4.5,5,7.3
431,Andy's Pizzeria And Mexican Food,(323) 537-2240,6700 S Central Ave,Los Angeles,CA,90001,NA,NA,NA
432,Sun Hai Inn Restaurant,(323) 666-5637,3176 Los Feliz Blvd,Los Angeles,CA,90039,NA,NA,6.35
433,Salsitas Picante Restaurant,(323) 766-9145,3026 W Jefferson Blvd,Los Angeles,CA,90018,NA,NA,NA
434,Sicha Siam Restaurant,(323) 344-8285,4403 Eagle Rock Blvd,Los Angeles,CA,90041,5.0,1,NA
435,I Panini Di Ambra,(323) 463-1200,5633 Hollywood Blvd,Los Angeles,CA,90028,NA,NA,NA
436,California Roll & Sushi,(323) 666-1266,2919 Los Feliz Blvd,Los Angeles,CA,90039,4.0,4,6.1
437,Tacos Ensenada,(323) 980-9737,5161 Pomona Blvd,Los Angeles,CA,90022,NA,NA,8.18
438,Atlantic Restaurant,(323) 981-0240,630 S Atlantic Blvd,Los Angeles,CA,90022,NA,NA,NA
439,Chalios Mexican Restaurant,(323) 262-3456,760 S Atlantic Blvd,Los Angeles,CA,90022,NA,NA,7.55
440,Crenshaw Fish Market,(323) 734-6191,3407 Crenshaw Blvd,Los Angeles,CA,90016,NA,NA,NA
441,La Brea Ramen Bar,(323) 549-9486,850 S La Brea Ave,Los Angeles,CA,90036,NA,NA,6.45
442,Smoke's Poutinerie,(323) 745-0267,1552 N Cahuenga Blvd,Los Angeles,CA,90028,NA,NA,NA
443,Cafe Midi,(323) 939-9860,148 S La Brea Ave,Los Angeles,CA,90036,4.5,26,NA
444,Abby's Diner,(323) 257-2229,4862 Eagle Rock Blvd,Los Angeles,CA,90041,4.0,5,7.04
445,Yuko Kitchen,(323) 933-4020,5484 Wilshire Blvd,Los Angeles,CA,90036,4.0,43,8.96
446,Mama Soul Food,(323) 934-6262,5068 W Pico Blvd,Los Angeles,CA,90019,NA,NA,NA
447,Collins Fish Market,(323) 732-6155,4873 W Adams Blvd,Los Angeles,CA,90016,NA,NA,NA
448,Next Door Lounge,(323) 465-5505,1154 N Highland Ave,Los Angeles,CA,90038,4.0,15,7.46
449,Jameson's Irish Pub,(323) 798-5360,6681 Hollywood Blvd,Los Angeles,CA,90028,3.5,144,8.05
450,Classic Thai Restaurant,(323) 478-0530,1708 Colorado Blvd,Los Angeles,CA,90041,4.5,14,6.28
451,Hong Kong Express,(323) 298-7480,3278 W Slauson Ave,Los Angeles,CA,90043,NA,NA,NA
452,Hungry Harold's,(323) 299-1817,3453 W Slauson Ave,Los Angeles,CA,90043,3.0,3,NA
453,Green Tea House Chinese Restaurant,(323) 874-6777,7226 W Sunset Blvd,Los Angeles,CA,90046,4.0,1,NA
454,Tusquellas Fish & Oyster Bar,(323) 939-2078,6333 W 3rd St  Farmers Market   Stall 43,Los Angeles,CA,90036,3.5,29,NA
455,Loteria Grill,(323) 930-2211,6333 W 3rd St,Los Angeles,CA,90036,4.0,142,NA
456,Joom Bangkok Cafe,(323) 938-9650,"7825 Beverly Blvd, #2",Los Angeles,CA,90036,3.5,9,7.06
457,Prime Pizza,(323) 852-1188,446 N Fairfax Ave,Los Angeles,CA,90036,4.5,20,8.04
458,Sofi Greek Restaurant,(323) 651-0346,8030 3/4 W 3rd St,Los Angeles,CA,90048,NA,NA,NA
459,Simplethings Sandwich-Pie Shop,(323) 592-3390,8310 W 3rd St,Los Angeles,CA,90048,NA,NA,NA
460,Nick's Coffee Shop & Deli,(310) 652-3567,8536 W Pico Blvd,Los Angeles,CA,90035,4.5,43,8.32
461,The Bazaar by Jose Andres,(310) 246-5555,465 S La Cienega Blvd,Los Angeles,CA,90048,4.5,3,NA
462,Little Kingston Jamaican Restaurant,(323) 295-5596,4716 W Slauson Ave,Los Angeles,CA,90056,4.0,7,7.42
463,Dolce Isola,(310) 776-7070,2869 S Robertson Blvd,Los Angeles,CA,90034,4.5,9,8.12
464,Sushiko,(310) 274-3474,9340 W Pico Blvd,Los Angeles,CA,90035,4.5,19,7.16
465,Melanee Thai,(310) 273-4066,9562 W Pico Blvd,Los Angeles,CA,90035,4.5,25,NA
466,Super Pho & Teriyaki,(310) 204-2829,10953 Venice Blvd,Los Angeles,CA,90034,NA,NA,NA
467,Carmines II,(310) 441-4706,10463 Santa Monica Blvd,Los Angeles,CA,90025,4.0,42,6.84
468,The Ramen Joint,(424) 227-9328,6220 W 87th St,Los Angeles,CA,90045,4.5,40,7.74
469,Fresh Corn Grill,(310) 470-0414,1510 Westwood Blvd,Los Angeles,CA,90024,4.5,67,8.43
470,Westwood Thai Cafe,(310) 477-7031,1375 Westwood Blvd,Los Angeles,CA,90024,4.0,18,7.05
471,Curry House Restaurant,(310) 479-8477,2130 Sawtelle Blvd Ste 200,Los Angeles,CA,90025,NA,NA,NA
472,Ronnie's Diner,(310) 578-9399,12740 Culver Blvd Ste J,Los Angeles,CA,90066,4.0,37,8.23
473,Flores and The Ladies' Gunboat Society,(424) 273-6469,2024 Sawtelle Blvd,Los Angeles,CA,90025,NA,NA,NA
474,Mori Sushi,(310) 479-3939,11500 W Pico Blvd,Los Angeles,CA,90064,4.0,18,7.81
475,Thai Talay,(310) 670-3055,8411 Lincoln Blvd,Los Angeles,CA,90045,4.0,54,NA
476,Siam Chan Restaurant,(310) 444-4981,1611 Colby Ave,Los Angeles,CA,90025,3.5,14,NA
477,Ekkamai Thai Restaurant,(310) 827-2777,13223 W Washington Blvd,Los Angeles,CA,90066,4.0,45,7.47
478,Le Saigon,(310) 312-2929,11611 Santa Monica Blvd,Los Angeles,CA,90025,NA,NA,NA
479,Hamakaze,(310) 822-9900,13327 W Washington Blvd,Los Angeles,CA,90066,4.5,28,8.02
480,Sakura House,(310) 306-7010,13362 W Washington Blvd,Los Angeles,CA,90066,4.5,20,8.11
481,Corner Grill,(818) 273-9332,6585 Foothill Blvd  Tujunga,Los Angeles,CA,91042,4.5,5,NA
482,Regent China Inn,(213) 680-3333,747 N Main St,Los Angeles,CA,90012,NA,NA,NA
483,Rick's Fish and Seafood Market,(323) 937-4180,4750 W Washington Blvd,Los Angeles,CA,90016,4.0,2,6.3
484,"Cole's, Originators of the French Dip Sandwich",(213) 622-4090,118 E 6th St,Los Angeles,CA,90014,4.0,175,8.55
485,Los Angeles Airport Marriott,(310) 641-5700,5855 W Century Blvd,Los Angeles,CA,90045,4.0,3438,7.04
486,Redbird,(213) 788-1191,114 E 2nd St,Los Angeles,CA,90012,4.5,267,8.77
487,Traxx Restaurant,(323) 470-7094,800 N Alameda St,Los Angeles,CA,90012,4.0,109,7.19
488,Little Jewel of New Orleans,(213) 620-0461,207 Ord St,Los Angeles,CA,90012,4.5,108,8.98
489,Hangari Kalguksu,(213) 388-2326,3470 W 6th St Ste 9,Los Angeles,CA,90020,4.5,34,8.7
490,Lemonade,(213) 821-3491,3601 Trousdale Pkwy,Los Angeles,CA,90089,NA,NA,7.09
491,Lemon Tree Kids & Family Restaurant,(213) 380-0038,621 S Western Ave Ste 111,Los Angeles,CA,90005,NA,NA,7.05
492,Il Capriccio on Vermont,(323) 662-5900,1757 N Vermont Ave,Los Angeles,CA,90027,4.5,103,8.31
493,The Palace,(323) 667-1595,2112 Hillhurst Ave,Los Angeles,CA,90027,NA,NA,NA
494,Saint Felix,(323) 469-5001,1602 N Cahuenga Blvd,Los Angeles,CA,90028,4.5,41,7.73
495,LACMA Cafe,(323) 932-5895,5905 Wilshire Blvd,Los Angeles,CA,90036,4.0,116,8.78
496,Meshuga 4 Sushi,(310) 271-5050,8948 W Pico Blvd,Los Angeles,CA,90035,4.0,16,6.93
497,Kura Revolving Sushi Bar,(310) 597-4490,2130 Sawtelle Blvd Ste 111,Los Angeles,CA,90025,4.5,42,6.72
